Date,Open,High,Low,Close,Adj Close,Volume
12/18/1991,36.73,36.73,36.73,36.73,21.530685,0
12/19/1991,36.639999,36.639999,36.639999,36.639999,21.477922,0
12/20/1991,37.080002,37.080002,37.080002,37.080002,21.735844,0
12/23/1991,37.080002,37.080002,37.080002,37.080002,21.735844,0
12/24/1991,38.27,38.27,38.27,38.27,22.433411,0
12/26/1991,38.810001,38.810001,38.810001,38.810001,22.749956,0
12/27/1991,38.310001,38.310001,38.310001,38.310001,22.845358,0
12/30/1991,39.119999,39.119999,39.119999,39.119999,23.328386,0
12/31/1991,39.310001,39.310001,39.310001,39.310001,23.44169,0
1/2/1992,39.330002,39.330002,39.330002,39.330002,23.453611,0
1/3/1992,39.52,39.52,39.52,39.52,23.566927,0
1/6/1992,39.41,39.41,39.41,39.41,23.501322,0
1/7/1992,39.360001,39.360001,39.360001,39.360001,23.471516,0
1/8/1992,39.43,39.43,39.43,39.43,23.513254,0
1/9/1992,39.380001,39.380001,39.380001,39.380001,23.483425,0
1/10/1992,39.139999,39.139999,39.139999,39.139999,23.340317,0
1/13/1992,39.07,39.07,39.07,39.07,23.298569,0
1/14/1992,39.650002,39.650002,39.650002,39.650002,23.644436,0
1/15/1992,39.689999,39.689999,39.689999,39.689999,23.668299,0
1/16/1992,39.450001,39.450001,39.450001,39.450001,23.525185,0
1/17/1992,39.509998,39.509998,39.509998,39.509998,23.560951,0
1/20/1992,39.509998,39.509998,39.509998,39.509998,23.560951,0
1/21/1992,38.93,38.93,38.93,38.93,23.215092,0
1/22/1992,39.439999,39.439999,39.439999,39.439999,23.519224,0
1/23/1992,39.139999,39.139999,39.139999,39.139999,23.340317,0
1/24/1992,39.189999,39.189999,39.189999,39.189999,23.370146,0
1/27/1992,39.150002,39.150002,39.150002,39.150002,23.346285,0
1/28/1992,39.150002,39.150002,39.150002,39.150002,23.346285,0
1/29/1992,38.720001,38.720001,38.720001,38.720001,23.089848,0
1/30/1992,38.84,38.84,38.84,38.84,23.161411,0
1/31/1992,38.580002,38.580002,38.580002,38.580002,23.006372,0
2/3/1992,38.66,38.66,38.66,38.66,23.054081,0
2/4/1992,39.080002,39.080002,39.080002,39.080002,23.304533,0
2/5/1992,39.09,39.09,39.09,39.09,23.310503,0
2/6/1992,39.099998,39.099998,39.099998,39.099998,23.31646,0
2/7/1992,38.860001,38.860001,38.860001,38.860001,23.17334,0
2/10/1992,39.119999,39.119999,39.119999,39.119999,23.328386,0
2/11/1992,39.130001,39.130001,39.130001,39.130001,23.334352,0
2/12/1992,39.439999,39.439999,39.439999,39.439999,23.519224,0
2/13/1992,39.119999,39.119999,39.119999,39.119999,23.328386,0
2/14/1992,39.02,39.02,39.02,39.02,23.268763,0
2/18/1992,38.540001,38.540001,38.540001,38.540001,22.982519,0
2/19/1992,38.630001,38.630001,38.630001,38.630001,23.03619,0
2/20/1992,39.16,39.16,39.16,39.16,23.352234,0
2/21/1992,38.93,38.93,38.93,38.93,23.215092,0
2/24/1992,39.009998,39.009998,39.009998,39.009998,23.262789,0
2/25/1992,38.849998,38.849998,38.849998,38.849998,23.167376,0
2/26/1992,39.310001,39.310001,39.310001,39.310001,23.44169,0
2/27/1992,39.18,39.18,39.18,39.18,23.364168,0
2/28/1992,39.060001,39.060001,39.060001,39.060001,23.292606,0
3/2/1992,39.060001,39.060001,39.060001,39.060001,23.292606,0
3/3/1992,39.110001,39.110001,39.110001,39.110001,23.322426,0
3/4/1992,38.779999,38.779999,38.779999,38.779999,23.125643,0
3/5/1992,38.509998,38.509998,38.509998,38.509998,22.964632,0
3/6/1992,38.32,38.32,38.32,38.32,22.851336,0
3/9/1992,38.41,38.41,38.41,38.41,22.905001,0
3/10/1992,38.57,38.57,38.57,38.57,23.000401,0
3/11/1992,38.299999,38.299999,38.299999,38.299999,22.83939,0
3/12/1992,38.279999,38.279999,38.279999,38.279999,22.827467,0
3/13/1992,38.470001,38.470001,38.470001,38.470001,22.940777,0
3/16/1992,38.52,38.52,38.52,38.52,22.970606,0
3/17/1992,38.830002,38.830002,38.830002,38.830002,23.155455,0
3/18/1992,38.790001,38.790001,38.790001,38.790001,23.131601,0
3/19/1992,38.849998,38.849998,38.849998,38.849998,23.167376,0
3/20/1992,38.98,38.98,38.98,38.98,23.244898,0
3/23/1992,38.860001,38.860001,38.860001,38.860001,23.17334,0
3/24/1992,38.759998,38.759998,38.759998,38.759998,23.113705,0
3/25/1992,38.66,38.66,38.66,38.66,23.054081,0
3/26/1992,38.470001,38.470001,38.470001,38.470001,23.072073,0
3/27/1992,38.060001,38.060001,38.060001,38.060001,22.82617,0
3/30/1992,38.02,38.02,38.02,38.02,22.802181,0
3/31/1992,38.09,38.09,38.09,38.09,22.844164,0
4/1/1992,38.139999,38.139999,38.139999,38.139999,22.874155,0
4/2/1992,37.779999,37.779999,37.779999,37.779999,22.658247,0
4/3/1992,37.889999,37.889999,37.889999,37.889999,22.724226,0
4/6/1992,38.279999,38.279999,38.279999,38.279999,22.958122,0
4/7/1992,37.580002,37.580002,37.580002,37.580002,22.538292,0
4/8/1992,37.240002,37.240002,37.240002,37.240002,22.334383,0
4/9/1992,37.830002,37.830002,37.830002,37.830002,22.688236,0
4/10/1992,38.169998,38.169998,38.169998,38.169998,22.892134,0
4/13/1992,38.34,38.34,38.34,38.34,22.994099,0
4/14/1992,38.93,38.93,38.93,38.93,23.347942,0
4/15/1992,39.299999,39.299999,39.299999,39.299999,23.569849,0
4/16/1992,39.279999,39.279999,39.279999,39.279999,23.557854,0
4/20/1992,38.720001,38.720001,38.720001,38.720001,23.222,0
4/21/1992,38.740002,38.740002,38.740002,38.740002,23.234003,0
4/22/1992,38.700001,38.700001,38.700001,38.700001,23.210003,0
4/23/1992,38.869999,38.869999,38.869999,38.869999,23.311968,0
4/24/1992,38.630001,38.630001,38.630001,38.630001,23.168026,0
4/27/1992,38.580002,38.580002,38.580002,38.580002,23.138039,0
4/28/1992,38.650002,38.650002,38.650002,38.650002,23.180031,0
4/29/1992,38.919998,38.919998,38.919998,38.919998,23.341955,0
4/30/1992,39.200001,39.200001,39.200001,39.200001,23.509876,0
5/1/1992,38.970001,38.970001,38.970001,38.970001,23.371935,0
5/4/1992,39.400002,39.400002,39.400002,39.400002,23.629829,0
5/5/1992,39.400002,39.400002,39.400002,39.400002,23.629829,0
5/6/1992,39.400002,39.400002,39.400002,39.400002,23.629829,0
5/7/1992,39.349998,39.349998,39.349998,39.349998,23.599842,0
5/8/1992,39.369999,39.369999,39.369999,39.369999,23.611835,0
5/11/1992,39.610001,39.610001,39.610001,39.610001,23.755775,0
5/12/1992,39.41,39.41,39.41,39.41,23.635824,0
5/13/1992,39.43,39.43,39.43,39.43,23.647823,0
5/14/1992,39.119999,39.119999,39.119999,39.119999,23.461897,0
5/15/1992,38.830002,38.830002,38.830002,38.830002,23.287971,0
5/18/1992,39.119999,39.119999,39.119999,39.119999,23.461897,0
5/19/1992,39.459999,39.459999,39.459999,39.459999,23.665815,0
5/20/1992,39.369999,39.369999,39.369999,39.369999,23.611835,0
5/21/1992,39.099998,39.099998,39.099998,39.099998,23.449903,0
5/22/1992,39.25,39.25,39.25,39.25,23.539865,0
5/26/1992,39.009998,39.009998,39.009998,39.009998,23.395929,0
5/27/1992,39.080002,39.080002,39.080002,39.080002,23.437914,0
5/28/1992,39.509998,39.509998,39.509998,39.509998,23.695801,0
5/29/1992,39.389999,39.389999,39.389999,39.389999,23.62384,0
6/1/1992,39.580002,39.580002,39.580002,39.580002,23.737772,0
6/2/1992,39.240002,39.240002,39.240002,39.240002,23.533869,0
6/3/1992,39.34,39.34,39.34,39.34,23.593847,0
6/4/1992,39.220001,39.220001,39.220001,39.220001,23.521872,0
6/5/1992,39.240002,39.240002,39.240002,39.240002,23.533869,0
6/8/1992,39.23,39.23,39.23,39.23,23.527878,0
6/9/1992,38.93,38.93,38.93,38.93,23.347942,0
6/10/1992,38.669998,38.669998,38.669998,38.669998,23.192022,0
6/11/1992,38.84,38.84,38.84,38.84,23.293964,0
6/12/1992,38.91,38.91,38.91,38.91,23.335957,0
6/15/1992,38.959999,38.959999,38.959999,38.959999,23.365944,0
6/16/1992,38.779999,38.779999,38.779999,38.779999,23.257988,0
6/17/1992,38.200001,38.200001,38.200001,38.200001,22.910156,0
6/18/1992,38.080002,38.080002,38.080002,38.080002,22.838175,0
6/19/1992,38.34,38.34,38.34,38.34,22.994099,0
6/22/1992,38.310001,38.310001,38.310001,38.310001,22.976103,0
6/23/1992,38.369999,38.369999,38.369999,38.369999,23.012102,0
6/24/1992,38.150002,38.150002,38.150002,38.150002,23.012106,0
6/25/1992,38.080002,38.080002,38.080002,38.080002,22.969877,0
6/26/1992,38.119999,38.119999,38.119999,38.119999,22.993998,0
6/29/1992,38.639999,38.639999,38.639999,38.639999,23.307661,0
6/30/1992,38.580002,38.580002,38.580002,38.580002,23.271473,0
7/1/1992,39.02,39.02,39.02,39.02,23.536884,0
7/2/1992,38.91,38.91,38.91,38.91,23.47052,0
7/6/1992,39.130001,39.130001,39.130001,39.130001,23.603233,0
7/7/1992,38.689999,38.689999,38.689999,38.689999,23.337833,0
7/8/1992,38.790001,38.790001,38.790001,38.790001,23.398146,0
7/9/1992,39.169998,39.169998,39.169998,39.169998,23.627352,0
7/10/1992,39.209999,39.209999,39.209999,39.209999,23.651495,0
7/13/1992,39.23,39.23,39.23,39.23,23.663549,0
7/14/1992,39.5,39.5,39.5,39.5,23.82641,0
7/15/1992,39.439999,39.439999,39.439999,39.439999,23.790224,0
7/16/1992,39.490002,39.490002,39.490002,39.490002,23.820381,0
7/17/1992,39.310001,39.310001,39.310001,39.310001,23.711811,0
7/20/1992,39.139999,39.139999,39.139999,39.139999,23.60927,0
7/21/1992,39.130001,39.130001,39.130001,39.130001,23.603233,0
7/22/1992,38.869999,38.869999,38.869999,38.869999,23.4464,0
7/23/1992,38.98,38.98,38.98,38.98,23.512754,0
7/24/1992,38.93,38.93,38.93,38.93,23.482609,0
7/27/1992,38.93,38.93,38.93,38.93,23.482609,0
7/28/1992,39.5,39.5,39.5,39.5,23.82641,0
7/29/1992,39.950001,39.950001,39.950001,39.950001,24.09786,0
7/30/1992,40.110001,40.110001,40.110001,40.110001,24.194374,0
7/31/1992,40.139999,40.139999,40.139999,40.139999,24.212467,0
8/3/1992,40.240002,40.240002,40.240002,40.240002,24.272785,0
8/4/1992,40.18,40.18,40.18,40.18,24.23658,0
8/5/1992,39.98,39.98,39.98,39.98,24.115953,0
8/6/1992,39.84,39.84,39.84,39.84,24.0315,0
8/7/1992,39.689999,39.689999,39.689999,39.689999,23.941032,0
8/10/1992,39.759998,39.759998,39.759998,39.759998,23.983257,0
8/11/1992,39.709999,39.709999,39.709999,39.709999,23.953083,0
8/12/1992,39.610001,39.610001,39.610001,39.610001,23.892769,0
8/13/1992,39.610001,39.610001,39.610001,39.610001,23.892769,0
8/14/1992,39.82,39.82,39.82,39.82,24.019444,0
8/17/1992,39.91,39.91,39.91,39.91,24.07373,0
8/18/1992,39.970001,39.970001,39.970001,39.970001,24.109917,0
8/19/1992,39.68,39.68,39.68,39.68,23.935009,0
8/20/1992,39.689999,39.689999,39.689999,39.689999,23.941032,0
8/21/1992,39.360001,39.360001,39.360001,39.360001,23.74197,0
8/24/1992,38.98,38.98,38.98,38.98,23.512754,0
8/25/1992,39.07,39.07,39.07,39.07,23.567038,0
8/26/1992,39.25,39.25,39.25,39.25,23.675623,0
8/27/1992,39.259998,39.259998,39.259998,39.259998,23.681639,0
8/28/1992,39.380001,39.380001,39.380001,39.380001,23.754038,0
8/31/1992,39.310001,39.310001,39.310001,39.310001,23.711811,0
9/1/1992,39.52,39.52,39.52,39.52,23.838474,0
9/2/1992,39.709999,39.709999,39.709999,39.709999,23.953083,0
9/3/1992,39.709999,39.709999,39.709999,39.709999,23.953083,0
9/4/1992,39.619999,39.619999,39.619999,39.619999,23.898802,0
9/8/1992,39.380001,39.380001,39.380001,39.380001,23.754038,0
9/9/1992,39.57,39.57,39.57,39.57,23.868645,0
9/10/1992,39.91,39.91,39.91,39.91,24.07373,0
9/11/1992,39.880001,39.880001,39.880001,39.880001,24.055639,0
9/14/1992,40.419998,40.419998,40.419998,40.419998,24.381359,0
9/15/1992,39.919998,39.919998,39.919998,39.919998,24.079763,0
9/16/1992,39.93,39.93,39.93,39.93,24.085796,0
9/17/1992,39.93,39.93,39.93,39.93,24.085796,0
9/18/1992,40.220001,40.220001,40.220001,40.220001,24.260708,0
9/21/1992,40.150002,40.150002,40.150002,40.150002,24.218498,0
9/22/1992,39.669998,39.669998,39.669998,39.669998,23.928965,0
9/23/1992,39.700001,39.700001,39.700001,39.700001,23.947056,0
9/24/1992,39.599998,39.599998,39.599998,39.599998,24.01985,0
9/25/1992,39.209999,39.209999,39.209999,39.209999,23.783283,0
9/28/1992,39.43,39.43,39.43,39.43,23.916733,0
9/29/1992,39.450001,39.450001,39.450001,39.450001,23.92886,0
9/30/1992,39.549999,39.549999,39.549999,39.549999,23.9895,0
10/1/1992,39.41,39.41,39.41,39.41,23.904581,0
10/2/1992,38.860001,38.860001,38.860001,38.860001,23.570992,0
10/5/1992,38.599998,38.599998,38.599998,38.599998,23.413284,0
10/6/1992,38.57,38.57,38.57,38.57,23.395084,0
10/7/1992,38.290001,38.290001,38.290001,38.290001,23.225239,0
10/8/1992,38.630001,38.630001,38.630001,38.630001,23.431479,0
10/9/1992,38.139999,38.139999,38.139999,38.139999,23.134258,0
10/12/1992,38.59,38.59,38.59,38.59,23.407223,0
10/13/1992,38.77,38.77,38.77,38.77,23.516401,0
10/14/1992,38.779999,38.779999,38.779999,38.779999,23.522461,0
10/15/1992,38.799999,38.799999,38.799999,38.799999,23.534597,0
10/16/1992,39,39,39,39,23.655901,0
10/19/1992,39.310001,39.310001,39.310001,39.310001,23.843952,0
10/20/1992,39.360001,39.360001,39.360001,39.360001,23.874273,0
10/21/1992,39.380001,39.380001,39.380001,39.380001,23.886395,0
10/22/1992,39.310001,39.310001,39.310001,39.310001,23.843952,0
10/23/1992,39.23,39.23,39.23,39.23,23.795418,0
10/26/1992,39.630001,39.630001,39.630001,39.630001,24.03805,0
